VILLAGE NAME,VILLAGE PIN CODE,NUMBER OF TOTAL POPULATION,NUMBER OF MALE,NUMBER OF FEMALE,NUMBER OF TOTAL HOUSEHOLD,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN FARM ACTIVITIES,NUMBER OF HOUSEHOLDS ENGAGED MAJORLY IN NON-FARM ACTIVITIES,"TOTAL CULTIVABLE AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF FARMERS USING DRIP/SPRINKLER IRRIGATION ,"TOTAL AREA IRRIGATED (IN HECTARE), IF IN ACRES DIVIDE BY 2.47","TOTAL UNIRRIGATED LAND AREA (IN HECTARES), IF IN ACRES DIVIDE BY 2.47",NUMBER OF HOUSEHOLDS WITH KUCCHA WALL AND KUCCHA ROOF ,NUMBER OF HOUSEHOLDS WHO HAVE GOT A PMAY HOUSE (COMPLETED OR SANCTIONED),NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST,NUMBER OF HOUSEHOLDS WHO GOT BENEFIT FROM ANY STATE SPECIFIC HOUSING SCHEME?,NUMBER OF HOUSEHOLDS WHO ARE IN THE PERMANENT WAIT LIST OF STATE SPECIFIC HOUSING SCHEME?,NUMBER  OF HOUSEHOLDS AVAILING THE BENEFITS UNDER SAUBHAGYA SCHEME,AVAILABILITY OF VOCATIONAL TRAINING CENTRE/POLYTECHNIC/ITI/RSETI /DDU-GKY,TOTAL NUMBER OF FARMERS ,NUMBER OF FARMERS RECEIVED THE SOIL TESTING REPORT,TOTAL APPROVED LABOUR BUDGET FOR THE YEAR 2018-19,NUMBER OF HOUSEHOLDS HAVING PIPED WATER CONNECTION ,Cluster
Meenad (CT),691334,56,26,30,15,1,14,0.3,0,0.01,0.28,0,0,0,0,0,0,0,4,0,59200.0,9,3
Puliyannoor (Part),686575,13504,6692,6812,2933,1608,1325,1574.3,11,32.1,1366.9,22,8,61,11,25,63,45,1473,234,9719000.0,1547,3
Meenachil (Part),686620,3376,1672,1704,1140,523,617,400.4,4,8.18,300.11,9,8,61,11,25,24,15,627,147,3781000.0,774,3
Chelannur (CT),673616,40697,19574,21123,9716,235,3088,1942.0,10,38.0,1848.0,32,13,42,103,2,0,53,15000,47,41000000.0,3487,1
Kodumba,678551,23828,11698,12130,5683,845,1386,1728.28,4,817.0,316.0,20,22,10,135,167,42,364,1500,650,27468000.0,3300,1
Kalikavu,676525,11376,5347,6029,2887,850,1550,1186.0,4,92.0,1059.0,2,10,0,73,47,26,3,1417,12,9240000.0,1910,3
Vellayur,679327,23834,11202,12632,4718,1650,419,1746.38,6,103.54,1596.27,1,15,0,79,51,45,6,2833,23,18760000.0,2865,1
Adichanalloor (CT),691573,33638,15626,18012,8302,410,7395,1111.4,7,41.1,1021.88,375,6,375,63,3,0,282,4982,810,47400000.0,7753,1
Pattithara,679534,1553,731,822,330,82,176,89.0,1,47.0,36.0,1,0,0,3,8,0,6,116,8,843000.0,148,3
Thrithala (CT),679534,26243,12384,13859,5549,231,1501,1753.66,32,442.0,1008.0,7,0,0,59,126,0,39,2721,154,15999000.0,2856,1
Kappur,679552,31337,14579,16758,6519,244,2286,1978.0,21,433.22,1275.88,20,0,5,40,222,15,45,2818,82,75202900.0,1865,1
Thikkody (CT),673329,27051,12334,14717,6201,95,1453,918.0,0,23.0,799.0,61,7,5,115,19,0,12,1750,40,67709600.0,435,1
Chirakkara,691578,1168,522,646,292,28,264,69.2,1,0.75,61.22,7,0,1,5,2,4,22,97,16,36400000.0,281,3
Meenad (CT),691578,27417,12717,14700,7096,390,6706,970.94,4,41.54,929.14,176,1,2,40,5,32,122,3654,424,36400000.0,6512,1
Panavally,688526,31570,15496,16074,7528,825,5724,956.5,25,92.0,519.0,85,22,75,406,52,18,17,2500,1900,61798.0,6947,1
Moothedam,679331,25261,12043,13218,5388,549,1054,2769.0,20,216.0,2479.0,8,4,0,164,0,32,0,3250,62,22693600.0,970,0
Elampalloor (CT),691577,3775,1833,1942,910,27,849,62.38,0,0.16,55.97,15,0,0,0,34,2,0,288,98,3708000.0,710,3
Kottamkara (CT),691005,38691,18793,19898,9332,245,8131,648.51,0,18.52,565.02,117,0,0,7,334,23,9,2848,10,36668000.0,6532,1
Thrikkovilvattom (CT),691005,944,458,486,228,15,191,14.5,0,0.03,13.02,1,0,0,1,7,0,0,64,2,824000.0,180,3
Kumarakam,686563,22358,11012,11346,5366,2420,2946,2190.0,2,1913.87,276.13,0,4,335,150,34,0,0,2420,125,189180.0,272,0
Mavilayi (CT),670622,12286,5593,6693,2699,80,1899,737.0,4,32.0,517.0,0,8,18,6,4,0,0,2400,22,12177978.0,1380,3
Makreri - CT,670622,16821,7687,9134,3830,1000,2830,883.0,3,50.0,776.0,0,7,20,10,5,0,0,3200,35,14884195.0,1360,3
Thinoor,673506,5148,2580,2568,1229,273,372,1699.0,0,8.0,1691.0,28,9,18,113,0,0,22,1210,0,20030000.0,612,3
Narippatta,673507,21381,10045,11336,4977,194,1060,1394.0,0,16.0,1378.0,13,12,23,50,0,0,40,3640,0,53770076.0,612,3
Arookutty (CT),688535,19411,9650,9761,4414,540,3029,418.07,2,39.61,219.55,82,1,45,117,68,33,26,3275,500,44625000.0,4076,1
Pallippuram (CT),688541,28276,13893,14383,6910,1050,5170,1837.25,25,561.7,885.8,78,0,51,294,16,14,160,2500,1000,58366000.0,6891,1
Thanneermukkam North(CT),688555,6130,2995,3135,1558,590,896,450.3,163,87.27,180.19,56,0,4,84,205,0,72,1200,57,9992011.0,659,3
Kanjikkuzhi (CT),688539,23821,11637,12184,5984,1662,4220,984.83,287,203.98,343.67,420,0,12,247,641,0,196,4000,143,43052716.0,2941,1
Koodathayi,673573,6543,3216,3327,1641,238,468,1084.0,12,17.0,1027.0,3,0,41,7,16,0,22,611,98,3700000.0,60,3
Kodencheri,673580,18738,9211,9527,4595,344,1345,2795.0,67,37.0,2732.0,5,1,56,10,28,3,57,3332,278,16800000.0,222,0
Nellipoyil,673580,7043,3478,3565,1727,95,596,1966.0,51,45.0,1875.0,2,0,37,13,14,0,33,1735,136,8500000.0,165,3
Kalavoor,688522,29808,14458,15350,7385,522,6273,789.0,8,611.0,178.0,115,11,12,253,33,0,69,1310,0,100500000.0,4824,1
Pathirappally (CT),688521,23455,11580,11875,5743,272,5011,413.0,5,327.0,86.0,78,7,5,104,10,0,42,472,0,0.0,2234,1
Mararikkulam North,688523,31322,15257,16065,7747,2115,5599,1161.31,10,560.12,172.24,426,0,39,246,9,0,256,2500,900,10860000.0,3242,1
Vilayur,679309,23389,10831,12558,4792,250,872,1542.0,11,212.0,1170.41,8,7,20,76,87,0,28,1524,0,37458000.0,3595,1
Keerikkad (CT),690508,10465,4819,5646,2821,73,1284,484.21,12,9.01,327.72,10,4,9,1,8,0,9,2048,208,27057104.0,235,3
Elamkunnapuzha (CT),682511,26997,13271,13726,6554,185,1930,1851.8,0,30.54,207.3,0,7,34,2,0,0,76,130,15,22974024.0,6459,1
Kuttamangalam,686693,13766,6825,6941,3385,1850,1150,1942.0,46,82.0,1860.0,0,4,0,63,23,96,55,2850,140,13614990.0,1184,3
Neriamangalam,686693,15961,8000,7961,3944,2130,1340,1463.0,46,82.0,1373.0,4,6,15,70,90,0,40,2879,170,13614990.0,2366,3
Puthuvype (CT),682508,23717,11593,12124,5677,120,1916,1851.8,0,28.75,191.11,0,6,27,2,0,0,48,125,59,22974024.0,5438,1
Edamon,691307,12880,6049,6831,3535,1910,1486,4603.65,10,20.18,4574.02,3,0,183,116,126,60,32,2688,30,36400000.0,260,0
Thenmala,691308,9318,4411,4907,2565,1323,1169,9644.2,6,10.0,9634.0,26,0,144,91,118,40,6,2112,12,28600000.0,269,0
Cherthala North (Part),688539,7508,3704,3804,1928,412,1390,248.13,4,69.102,106.518,8,7,6,61,63,0,15,522,93,24414000.0,1545,3
Cherthala South (Part),688524,15549,7671,7878,3967,914,2812,649.17,8,253.36,344.98,16,15,11,127,144,0,36,1346,335,54850000.0,3182,3
Arthunkal,688539,17045,8408,8637,4405,854,3294,457.33,3,143.42,182.0,18,16,12,134,146,0,72,1062,311,55017000.0,3531,1
Varappuzha (CT),683517,26750,13171,13579,6667,600,6067,977.84,7,391.14,586.14,0,5,251,29,129,15,80,2198,12,13003915.0,5999,1
Thaikattussery (CT),688528,20874,10242,10632,5152,843,4121,881.4,10,103.27,420.6,392,14,11,177,53,3,100,2545,400,63282000.0,4828,1
Chadayamangalam,691534,22473,10242,12231,5707,539,1270,1876.0,5,120.0,1595.0,17,0,86,22,0,44,130,3500,15,35551264.0,1515,1
Pavaratty (CT),680507,12299,5570,6729,2784,473,1587,384.5,7,158.64,173.5,3,17,28,2,45,1,0,2335,1800,1088000.0,0,3
Venmanad (CT),680507,8377,3901,4476,1809,305,1504,389.6,3,193.78,195.8,3,2,17,3,42,0,0,2500,1800,1845000.0,76,3
Purameri,673503,27612,12743,14869,6936,258,1347,1696.0,7,26.0,1670.0,16,5,20,42,26,0,26,812,43,119750000.0,2424,1
Kizhakkekallada,691502,21434,10117,11317,5505,235,4250,917.35,4,11.0,880.05,55,1,247,131,256,9,164,2850,0,68314000.0,3250,1
Ennakkad,689624,18444,8710,9734,4860,395,4460,1115.4,2,576.4,399.44,5,14,23,56,27,4,16,395,47,59664000.0,0,3
Ezhikkara,683513,11840,5763,6077,2698,1614,270,1301.0,6,506.0,795.0,50,9,200,56,119,0,110,1818,5,8983500.0,2614,3
North Paravur,683513,6179,3021,3158,1848,924,314,216.0,8,72.0,144.0,10,3,85,25,42,0,110,924,5,8983500.0,1315,3
Panayam (CT),691601,26825,12869,13956,6686,100,1962,525.98,6,16.46,509.52,66,6,27,90,98,15,21,2066,30,26558000.0,6413,1
Malampuzha-II,678732,9664,4771,4893,2228,957,1271,661.21,6,243.6,417.61,19,5,16,3,0,47,6,298,275,79.91,95,3
Marutharode (CT),678007,24963,12304,12659,6040,184,2246,440.08,6,158.01,282.07,9,0,30,5,0,71,8,198,183,119.87,180,3
Kayakkodi,673508,24578,11627,12951,5664,346,1304,2401.0,2,30.0,2363.0,3,22,7,145,6,0,0,5400,0,70152960.0,1208,1
Arakkuparamba,679341,18098,8625,9473,3401,550,2783,2015.0,5,216.0,1719.0,36,5,20,42,20,7,21,1239,0,15200000.0,3061,3
Thazhekode,679341,23884,11429,12455,4550,380,4125,1786.0,1,380.0,1406.0,24,5,14,37,14,8,15,1190,0,22800000.0,2060,1
Thanneermukkam North(CT),688526,27620,13473,14147,6912,2024,4079,1015.32,5,520.15,424.53,39,8,37,198,845,5,298,3074,195,97405100.0,4640,1
Kokkothamangalam (CT),688526,14682,7162,7520,3674,504,2726,608.25,3,285.26,293.31,21,5,17,106,455,3,160,836,105,52448900.0,2378,3
Onchiam,627341,28650,13224,15426,6289,78,1615,713.0,0,53.0,12.0,0,0,0,11,4,0,54,5200,0,200.0,61,1
Ala (Part),689126,1291,589,702,343,5,338,15.47,1,5.0,0.0,4,0,1,2,8,0,8,5,0,0.0,0,3
Puliyoor(Part),689510,15377,7065,8312,4151,1210,2941,806.78,9,345.0,346.25,148,6,4,12,130,2,65,1995,100,27781728.0,1859,3
Mulavana,691501,14651,7033,7618,3750,86,1610,744.4,6,10.24,726.76,138,0,0,27,144,8,0,2158,0,42642000.0,2789,3
Kunnumma,688506,9175,4497,4678,2204,593,722,811.51,0,632.14,178.09,2,2,17,158,43,4,0,2750,142,31021000.0,1980,3
Kavalam,688506,4835,2364,2471,1167,460,431,599.14,0,452.09,128.86,2,2,10,104,27,5,0,1628,108,19276000.0,925,3
Kavilumpara,673513,19212,9369,9843,4652,3652,942,3080.0,38,34.0,3046.0,47,43,71,184,34,0,30,4200,180,56395100.0,234,0
Maruthonkara,627352,3616,1773,1843,876,212,568,568.0,9,1.0,529.0,0,0,0,0,0,0,0,556,0,0.0,30,3
Iriveri (CT),670613,17231,7873,9358,3564,50,3514,843.0,5,46.0,796.0,2,6,0,15,0,0,42,752,0,8500000.0,195,3
Chembilode - CT,670613,17088,7698,9390,3486,46,3430,782.0,4,40.0,677.0,0,7,0,15,0,0,34,1142,0,9500000.0,187,3
Veeyapuram,690514,11320,5204,6116,2949,791,1292,1199.83,0,1000.3,1.02,10,4,13,65,60,72,0,2500,50,38280000.0,983,3
Palayad (CT),673105,18141,8605,9536,4138,151,1045,1145.0,10,84.0,1061.0,20,9,20,103,0,0,12,700,20,17189280.0,1614,3
Maniyur (CT),673523,21820,10244,11576,5159,181,1227,1343.0,12,136.0,1207.0,34,10,34,119,0,0,10,800,40,20178720.0,1941,3
Kuzhuppilly,682501,12137,5974,6163,3793,200,1934,556.0,10,3.15,201.85,10,3,3,90,15,0,27,2500,75,13700000.0,3370,3
Karukachal,686540,1642,810,832,420,134,130,120.79,1,0.56,114.08,8,1,7,2,8,0,0,378,0,1256000.0,131,3
Nedumkunnam,686542,20058,9696,10362,4980,1958,1543,2279.0,7,9.76,1955.8,98,7,89,23,76,0,42,4965,0,14444000.0,1511,1
Mannur,678642,19805,9410,10395,4601,310,840,1608.0,27,493.0,998.0,40,16,9,78,120,23,27,3828,50,30438000.0,1778,1
Thevalakkara,690524,42977,20278,22699,10473,1885,8588,1148.87,10,59.05,956.0,116,16,3,116,142,46,12,9385,256,32183380.0,5423,1
Perumbalam,688570,9733,4880,4853,2365,224,2076,418.82,8,45.47,234.85,15,8,7,105,32,0,2,750,147,29025000.0,2046,3
Pudussery East,678624,14416,7143,7273,3589,921,1364,2440.5,84,684.8,300.0,218,18,65,154,162,8,39,1383,185,16103515.0,1324,0
Pudussery Central (CT),678621,16629,8469,8160,4062,303,1736,1160.7,23,258.4,228.4,106,17,60,141,150,10,67,642,85,18574946.0,2452,3
Pudussery West (CT),678623,20140,9948,10192,5016,455,1860,870.3,18,282.3,150.1,110,11,42,98,103,6,28,715,30,22497120.0,3170,1
Athavanad,676552,20480,9612,10868,3769,1415,1850,1006.98,14,135.63,871.35,10,5,8,16,18,29,20,848,14,9700000.0,1850,3
Kurumbathur,676301,20707,9686,11021,3804,1160,1730,1161.97,14,122.0987,895.925,8,4,8,19,31,26,17,862,11,9600000.0,1637,3
Mulamthuruthy (CT),682314,25852,12709,13143,6489,4424,365,1480.0,16,350.0,1130.0,0,6,0,31,0,0,27,4431,51,19691000.0,3785,1
Elappully-II,678622,20857,10286,10571,4897,1226,1224,2173.44,77,793.0,703.0,131,0,4,156,38,97,6,2027,106,25568000.0,3894,1
Mulakuzha (Part),689505,28280,13045,15235,7667,1260,6407,1937.49,4,350.5,1444.99,25,11,30,42,42,4,10,2500,430,36500000.0,3900,1
Ala (Part),689126,13395,6131,7264,3646,1500,2146,776.03,15,217.95,558.08,2,12,1,6,1,1,1,2000,50,13158000.0,300,3
Kainakary North,688501,9805,4764,4932,2283,625,304,2052.12,0,1569.16,164.25,12,4,0,58,0,14,5,2510,32,16978636.0,115,3
Kainakary South,688501,9289,4455,4834,2270,674,297,759.42,0,661.12,92.14,9,4,0,58,0,7,12,1872,34,17436888.0,118,3
Vellattanjur,680601,6704,3234,3470,1575,1180,395,471.73,15,184.81,286.92,0,2,4,12,0,0,15,1815,152,44000844.0,612,3
Thayyur,680601,4740,2230,2510,1113,740,373,447.99,15,175.51,272.48,0,1,2,10,0,0,14,2328,145,41786380.0,1015,3
Kiralur,680601,2261,1140,1121,545,370,175,218.58,8,85.63,132.95,0,1,2,2,0,0,10,814,42,20388202.0,221,3
Velur (CT),680601,13928,6675,7253,3440,1125,860,934.4,31,366.06,568.33,0,3,6,30,0,0,42,2318,241,87155220.0,815,3
Cheriyanad,689511,21885,10093,11792,5823,592,4931,1251.4,160,312.23,126.4,237,12,4,77,41,0,0,5000,1200,29000000.0,2413,1
Kadamakkudy (CT),683517,16295,8185,8110,4017,1234,81,833.75,1,5.55,173.57,25,6,345,9,0,0,19,350,155,18571700.0,3721,3
Kallur,680317,18716,9190,9526,4578,2546,2032,777.0,46,393.0,384.0,0,0,0,5,2,0,37,3454,172,18400000.0,1327,3
Trikkur (CT),680306,13093,6465,6628,3177,1748,1429,647.0,38,327.0,320.0,0,0,0,5,1,0,36,2302,115,12200000.0,719,3
Neendakara (OG),691582,16976,8357,8619,4087,2880,1207,385.5,4,10.55,374.95,128,9,0,54,103,0,27,3111,2,24929000.0,4087,1
Madavoor,673585,28672,13747,14925,6598,380,1526,1702.0,9,35.0,1604.0,41,0,28,15,108,0,0,2481,0,33557800.0,893,1
Venmony,689509,19932,9073,10859,5569,1381,4188,1518.3,35,400.0,1032.35,55,15,5,4,16,0,0,3850,1142,25637000.0,257,1
Cheruthana,690514,12854,6003,6851,3272,1415,982,1243.35,5,872.4,334.95,0,22,39,37,4,1632,0,4100,50,54783056.0,1192,4
Kuttampuzha,686681,24451,12372,12079,6366,3270,2875,3055.0,2,72.0,2863.4,350,60,0,274,350,0,29,4023,1000,73989000.0,1925,0
Vazhappally West,686103,10655,5173,5482,2622,898,1093,1190.0,20,960.0,190.0,10,1,4,30,40,0,3,1095,190,17705072.0,990,3
Chethipuzha (CT),686106,25145,12128,13017,6201,2155,2598,837.0,33,120.0,417.0,2,2,8,110,80,0,2,3005,320,17705072.0,2920,1
Thalavady,689572,20459,9721,10738,5227,950,680,1389.0,5,975.0,414.0,0,0,3,74,0,2,99,2980,50,34900000.0,3500,1
Elappully-I,678622,18175,8905,9270,4350,1057,1174,2006.2,103,833.0,547.0,117,0,9,108,27,109,4,1798,94,15135721.0,3025,0
Puthuppariyaram-II,678731,30895,14995,15900,7272,275,2364,1060.56,3,310.26,532.58,68,9,53,163,243,4,20,565,64,26594880.0,4102,1
Puthuppariyaram 1,678731,8533,4153,4380,1950,322,485,1296.24,1,379.21,650.93,46,3,27,45,64,1,5,535,56,7501120.0,786,3
Thrikkaruva (CT),690544,25432,12087,13345,6322,258,6010,472.95,3,2.0,467.32,26,0,0,140,132,7,64,4596,130,21315000.0,4538,1
Ennakkad,689506,22,9,13,5,2,3,0.04,0,0.01,0.03,2,0,0,0,0,5,0,2,0,0.0,0,3
Pandanad (Part),689506,11417,5271,6146,3121,742,625,888.6,3,214.25,262.26,24,3,4,14,30,1130,0,2538,10,23504000.0,2500,3
Kumbalangy (CT),682007,28248,13873,14375,6763,243,4146,819.65,50,6.25,521.51,35,15,158,123,122,0,148,6012,1000,19041750.0,6504,1
Thiruvanvandoor,689124,50,26,24,12,0,12,0.097,0,0.031,0.066,1,1,1,2,1,5,0,0,0,0.0,0,3
Vadakkethara,680587,10261,4963,5298,2489,125,897,765.0,90,312.7,452.3,0,7,5,56,6,0,6,1050,215,16014725.0,1065,3
Pazhayannur,680587,16688,8126,8562,3895,390,1052,1303.35,112,394.4,908.95,0,12,13,88,9,0,18,2328,248,25253990.0,1580,3
Vennur,680586,3023,1475,1548,723,44,254,545.28,52,225.28,320.0,0,7,9,26,5,0,7,403,152,4619632.0,655,3
Elanad,680586,10284,4980,5304,2467,297,642,818.0,122,298.56,519.44,0,5,6,46,3,0,8,1448,165,15706750.0,1152,3
Painkulam,679531,9517,4551,4966,1997,101,552,806.38,42,198.25,385.65,4,15,27,21,0,0,0,713,0,15613818.0,683,3
Killimangalam,680591,9119,4402,4717,1881,125,577,616.02,41,111.81,503.42,6,18,32,18,0,0,0,679,0,16838512.0,652,3
Panjal,679531,6388,3104,3284,1997,101,560,501.22,54,100.38,400.09,5,11,22,18,0,0,0,508,0,15426412.0,691,3
Alappad,690547,21655,10689,10966,5229,50,5179,324.0,2,5.07,318.93,12,2,7,20,32,12,73,250,92,131259288.0,5218,1
Vellinezhi,679503,20168,9726,10442,4967,1350,3617,1415.0,12,150.0,1265.0,0,13,189,50,7,0,32,1350,625,20184080.0,2980,1
Kalloorkkad,686668,12911,6466,6445,3130,1985,849,2266.53,150,182.01,1996.91,0,3,0,47,0,81,5,2672,150,46580000.0,823,0
Manjalloor,686670,326,161,165,79,33,36,40.79,0,3.26,31.03,0,0,0,2,0,0,0,28,0,0.0,23,3
Chendamangalam (CT),683512,29326,14153,15173,7635,1500,6060,714.34,18,69.86,538.3,0,19,370,190,268,53,0,2610,0,28500000.0,7615,1
Memury,686667,5621,2813,2808,1446,1098,348,774.0,1,186.0,463.0,16,7,49,11,3,263,71,1107,8,7788100.0,683,3
Ramamangalam,686663,9229,4645,4584,2389,1816,573,1160.0,2,314.0,790.0,23,10,98,17,10,429,98,1807,13,12706900.0,1114,3
Thalanadu,686580,7029,3486,3543,1706,1423,198,2744.25,18,80.54,2477.97,0,3,11,17,8,0,0,1651,64,21989800.0,68,3
Champakkulam,688505,15848,7636,8212,3932,2083,719,2818.06,4,1910.0,390.0,16,3,285,48,65,0,8,3205,1100,32412000.0,3210,0
Pallarimangalam,686671,14830,7355,7475,3383,700,2422,1415.0,8,182.0,1212.0,0,1,0,64,24,10,0,1500,70,10762635.0,582,3
Cheppad (CT),690507,20052,9165,10887,5344,644,2808,1024.18,1,142.33,462.67,98,8,9,62,13,0,33,5400,400,2597102.0,1010,1
Muthukulam (CT),690506,20740,9474,11266,5692,638,287,1026.95,3,13.53,697.07,110,6,3,166,5,20,11,12650,1160,70785200.0,3085,1
Karuvatta,690517,14819,6815,8004,3907,546,1446,1101.63,12,759.23,68.67,30,12,48,102,3,1112,13,3360,14,37978220.0,1172,3
Kumarapuram (CT),690517,6392,2895,3497,1644,332,526,318.73,6,10.71,222.88,8,3,13,29,1,491,3,1440,6,16276380.0,493,3
Vanimel,673506,22291,10718,11573,4785,146,1219,1385.0,26,220.0,1140.0,80,15,98,124,40,0,12,6530,30,4206000.0,2400,1
Vilangad,673506,3121,1582,1539,769,24,199,1540.0,18,16.0,1464.0,40,19,36,61,21,0,8,550,20,4247200.0,485,3
Kumarapuram (CT),690548,20572,9512,11060,5376,428,1600,890.88,0,16.26,564.74,0,12,69,261,34,312,13,4820,2,100000000.0,3256,1
Kandalloor (CT),690535,19925,9068,10857,5387,659,2604,820.55,0,22.01,603.35,7,5,12,15,111,0,45,5561,248,61200000.0,3705,1
Puthuppally (CT),690527,20390,9179,11211,5428,1387,2367,796.6,20,17.92,658.07,114,6,9,76,76,0,1,2210,22,40568700.0,2492,1
Moothakunnam (CT),683516,27458,13279,14179,8581,860,2574,1001.0,4,450.0,551.0,32,27,212,86,164,5,54,600,10,35216180.0,7925,1
Kurumala,680586,3536,1699,1837,874,125,272,314.24,50,70.56,243.68,8,2,3,35,3,0,10,450,401,6144000.0,832,3
Thonnurkara,680586,6799,3214,3585,1613,160,439,558.64,65,125.44,433.2,8,2,3,54,4,0,9,702,563,6145000.0,1435,3
Pangarappilly,680586,5467,2598,2869,1333,133,354,488.81,55,109.76,379.05,4,2,3,48,3,0,11,625,502,6143000.0,1206,3
Pulakode,680586,6456,3114,3342,1567,157,423,453.91,58,101.93,351.98,6,2,3,31,3,0,12,750,531,6144000.0,1480,3
Chelakkara (CT),680586,7528,3535,3993,1691,70,486,349.15,40,78.4,270.75,4,2,2,21,3,0,15,630,502,6144000.0,1437,3
Venganellur,680586,10664,5047,5617,2596,177,783,1326.78,80,297.92,1028.86,10,2,5,44,3,0,12,758,562,6146000.0,2224,3
Edathirinji (CT),680122,9922,4603,5319,2539,355,1591,871.924,5,240.09,631.834,4,0,12,31,0,0,12,2468,78,8426500.0,2526,3
Padiyur (CT),680688,8823,4115,4708,2261,325,1871,773.216,5,212.91,560.3058,6,0,21,26,21,0,8,2196,52,8426500.0,2012,3
Arakkulam,685591,12515,6033,6482,3195,1428,1284,1800.0,74,150.0,1650.0,18,6,55,61,108,11,23,1800,98,35673000.0,735,3
Elappara,685533,3287,1603,1684,1003,578,403,678.0,85,98.0,493.0,14,10,4,119,158,68,4,312,76,3958904.0,291,3
Peerumade,685533,3915,1903,2012,1221,402,674,1115.0,10,192.0,721.0,27,22,2,20,158,72,4,482,39,4819364.0,307,3
Manjumala,685533,20503,10200,10303,5126,2485,2365,6815.0,111,694.0,5411.0,662,128,4,558,1069,82,30,1451,135,20232646.0,344,2
Periyar,685533,16417,8199,8218,4142,2325,1615,3509.0,58,825.0,2684.0,218,44,2,451,70,24,21,1877,115,16348736.0,864,0
Elappally,685589,2293,1176,1117,607,270,245,1975.0,15,160.0,1815.0,18,3,2,6,12,2,0,412,22,15164000.0,135,3
Pallippad,690512,16738,7532,9206,6424,1850,2375,1155.94,2,417.52,625.16,0,20,34,71,44,2859,15,6050,400,62146180.0,875,4
Nayarambalam,682509,24127,11867,12260,5910,131,4473,809.06,2,30.26,313.54,64,7,2,72,26,0,172,2511,50,23100000.0,4111,1
Parappur (CT),676503,36270,16975,19295,6554,146,6408,1198.09,12,134.47,990.22,2,16,7,14,0,8,28,4457,0,7556383.0,5565,1
Kongad-II,678631,15352,7481,7871,3492,462,809,1739.29,1,320.54,1217.73,47,10,15,0,0,0,13,2265,0,49728000.0,2234,3
Kongad-I,678631,14808,7148,7660,3394,359,895,1125.93,1,232.54,861.85,39,4,10,0,0,0,12,2235,0,49850000.0,2550,3
Idukki,685591,3673,1787,1886,974,325,268,1200.0,5,165.0,1035.0,6,15,5,12,15,5,0,365,15,14262000.0,136,3
Pirayiri (CT),678004,41359,20265,21094,8944,500,2752,1093.65,12,525.07,194.29,5,13,8,476,215,19,28,800,11,144237000.0,738,1
Kuzhuppilly,683515,11721,5756,5965,2782,83,1308,207.0,6,5.5,140.0,3,7,103,52,19,0,2,1313,20,5400000.0,2725,3
Pallippuram,683514,32321,15866,16455,8056,242,3786,586.0,15,9.25,406.0,8,19,309,154,56,0,7,3937,60,11600000.0,7950,1
Pindimana,686692,11801,5923,5878,3072,1260,1240,1940.0,13,49.0,1771.0,0,6,0,83,7,23,63,2055,242,15149000.0,1680,3
Thrikkariyoor (Part),686692,4718,2333,2385,1145,324,325,244.0,4,16.0,212.0,0,2,0,32,3,4,30,799,94,5891000.0,860,3
Vakathanam,686538,19589,9429,10160,4929,1084,3845,1453.0,8,362.8,1090.2,0,4,18,29,51,9,0,1100,1,8700000.0,536,3
Thottackad,686539,13961,6812,7149,3513,787,2726,1168.7,7,198.8,969.9,14,2,15,16,41,9,0,1300,1,5800000.0,477,3
Thrikkunnapuzha,690515,26679,12593,14086,6523,595,4095,945.86,4,0.79,717.78,145,24,146,347,0,4,17,2800,45,14078500.0,5921,1
Vadakkekara (CT),683522,3808,1890,1918,1671,250,1350,141.0,2,65.0,76.0,14,27,212,86,164,12,12,600,10,24073820.0,1256,3
Arangottukara,679532,3013,1447,1566,682,145,267,321.25,7,105.16,181.6,2,1,6,5,3,2,15,1023,85,17795104.0,625,3
Pallur,679532,7197,3487,3710,1495,312,562,562.18,7,359.03,125.71,2,2,7,0,3,4,12,1734,78,31141432.0,1457,3
Thalassery,679532,3318,1525,1793,680,139,257,281.1,5,92.5,112.75,2,1,2,0,2,2,13,1023,72,15570716.0,590,3
Desamangalam (CT),679532,8355,4026,4329,1722,294,583,642.49,5,410.32,112.05,2,2,8,1,4,7,17,1895,73,35590210.0,1682,3
Karthikappally (CT),690516,14856,6882,7974,4608,452,3472,398.72,3,27.9,324.68,50,15,41,118,140,0,26,3075,250,33758680.0,3547,1
Anjur (CT),680545,10860,5232,5628,2654,1097,1357,529.93,2,267.21,256.73,2,0,54,16,42,0,1,1359,19,4138520.0,365,3
Kaiparamba (CT),680541,7179,3514,3665,1700,739,856,385.41,2,194.34,186.71,3,0,36,21,46,0,2,820,5,4045250.0,40,3
Peramangalam (CT),680545,13260,6457,6803,3334,1573,1605,704.0,2,353.0,327.0,36,0,50,18,58,0,2,1593,26,4237871.0,470,3
Kollengode-II,678506,11329,5463,5866,2704,595,640,1156.0,5,725.0,242.0,8,4,3,80,15,0,17,512,174,21574000.0,2302,3
Kollengode-I,678506,18258,8911,9347,4217,934,1008,1240.0,5,784.0,248.0,23,16,6,80,15,0,34,750,244,34623000.0,3644,3
